targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-35.000 -17.953 -32.000 -17.000 3.746 1.138 0.074 6.130 
-35.000 -17.998 -32.000 -17.000 3.741 1.121 0.075 6.094 
-35.000 -17.998 -32.000 -17.000 3.753 1.123 0.059 6.110 
-35.000 -18.000 -32.000 -17.950 3.777 1.125 0.032 6.135 
-35.000 -18.000 -32.000 -17.950 3.793 1.130 0.016 6.158 
-33.050 -18.000 -30.052 -17.050 3.620 1.040 -0.023 5.970 
-33.050 -18.000 -30.052 -17.050 3.638 1.046 -0.038 5.998 
-29.055 -15.053 -25.105 -15.053 3.788 1.630 -0.468 7.292 
-29.055 -15.053 -25.105 -15.053 3.815 1.635 -0.497 7.330 
-24.103 -14.003 -22.053 -13.050 2.599 0.612 -0.002 4.139 
-24.103 -14.003 -22.053 -13.050 2.618 0.619 -0.018 4.172 
-22.053 -13.000 -20.003 -12.050 2.462 0.631 -0.066 4.061 
-22.053 -13.000 -20.003 -12.050 2.473 0.634 -0.075 4.076 
-22.000 -12.000 -20.000 -11.050 2.516 0.721 -0.111 4.136 
-22.000 -12.000 -20.000 -11.050 2.523 0.723 -0.117 4.145 
-21.000 -11.003 -19.000 -10.050 2.485 0.787 -0.170 4.165 
-21.000 -11.003 -19.000 -10.050 2.492 0.788 -0.175 4.173 
-19.052 -10.003 -17.050 -10.002 2.351 0.807 -0.229 4.083 
-19.052 -10.003 -17.050 -10.002 2.363 0.809 -0.238 4.098 
-17.050 -9.050 -15.050 -8.053 2.206 0.815 -0.283 3.980 
-17.050 -9.050 -15.050 -8.053 2.217 0.817 -0.293 3.996 
-15.050 -8.000 -13.053 -8.000 2.065 0.835 -0.342 3.890 
-15.050 -8.000 -13.053 -8.000 2.075 0.837 -0.350 3.905 
-14.050 -8.000 -12.050 -7.050 1.970 0.789 -0.353 3.793 
-14.000 -7.000 -12.000 -7.000 2.041 0.903 -0.412 3.941 
