targetLeft_x[pixels] targetLeft_y[pixels] targetRight_x[pixels] eyeVergence[deg] eyePan[deg] eyeTilt[deg] neckPan[deg] neckTilt[deg]
-102.000 -13.000 -114.000 0.000 -0.002 -0.002 -0.009 0.365 
-101.050 -13.000 -114.000 0.000 -0.002 -0.002 0.006 0.366 
-101.953 -13.000 -114.000 0.558 -1.303 0.032 -0.331 0.367 
-101.050 -13.000 -112.100 0.558 -1.303 0.032 -0.331 0.367 
-98.152 -13.950 -103.455 1.387 -2.900 0.121 -1.331 0.379 
-86.363 -13.002 -69.799 1.819 -3.903 0.173 -1.931 0.375 
-76.518 -14.900 -57.640 2.597 -5.980 0.273 -2.963 0.369 
-59.566 -14.952 -31.494 2.597 -5.980 0.273 -2.963 0.369 
-50.478 -14.998 -12.975 3.658 -8.567 0.413 -4.411 0.351 
-31.429 -15.997 8.233 3.546 -9.151 0.482 -4.953 0.341 
-25.321 -16.000 18.462 4.009 -9.949 0.555 -5.484 0.319 
-10.276 -16.000 32.489 3.539 -10.447 0.651 -5.985 0.279 
0.592 -16.000 39.886 3.577 -10.577 0.713 -6.256 0.257 
4.780 -16.000 42.844 3.550 -10.662 0.784 -6.522 0.227 
6.889 -15.050 44.892 3.387 -10.711 0.839 -6.683 0.201 
12.795 -15.000 48.895 3.387 -10.711 0.839 -6.683 0.201 
13.940 -14.050 48.995 2.996 -10.415 0.962 -6.877 0.148 
14.997 -14.000 49.997 2.649 -9.954 1.072 -7.097 0.094 
15.950 -13.050 50.950 2.367 -9.507 1.123 -7.175 0.045 
16.997 -12.050 50.097 2.206 -9.255 1.167 -7.197 0.025 
17.000 -12.003 46.205 1.843 -8.701 1.266 -7.290 -0.028 
18.947 -11.003 40.158 1.649 -8.385 1.312 -7.299 -0.065 
18.050 -9.053 33.208 1.351 -7.890 1.377 -7.334 -0.108 
18.952 -9.003 30.160 1.182 -7.591 1.426 -7.302 -0.154 
18.050 -8.003 23.160 0.989 -7.201 1.485 -7.300 -0.191 
18.952 -7.050 20.158 0.854 -6.938 1.531 -7.311 -0.235 
18.050 -6.003 15.155 0.716 -6.575 1.610 -7.276 -0.289 
18.002 -4.100 13.108 0.716 -6.575 1.610 -7.276 -0.289 
17.050 -3.050 9.105 0.570 -6.188 1.647 -7.257 -0.377 
17.003 -2.053 7.105 0.570 -6.188 1.647 -7.257 -0.377 
16.050 -1.050 3.105 0.399 -5.718 1.711 -7.208 -0.472 
15.053 -0.053 2.055 0.354 -5.513 1.722 -7.218 -0.531 
14.050 0.997 -0.945 0.319 -5.181 1.746 -7.171 -0.633 
14.003 1.950 -1.947 0.290 -5.048 1.752 -7.149 -0.682 
12.053 2.950 -3.947 0.299 -4.902 1.752 -7.127 -0.724 
12.003 2.997 -3.997 0.299 -4.902 1.752 -7.127 -0.724 
10.053 3.997 -4.997 0.312 -4.732 1.748 -7.124 -0.808 
10.003 4.000 -5.950 0.344 -4.583 1.721 -7.114 -0.856 
9.003 4.997 -6.000 0.358 -4.521 1.709 -7.120 -0.914 
8.050 5.000 -6.950 0.358 -4.521 1.709 -7.120 -0.914 
7.050 5.997 -7.000 0.439 -4.392 1.663 -7.143 -1.022 
7.003 6.000 -7.000 0.460 -4.363 1.653 -7.094 -1.049 
6.050 6.997 -7.000 0.483 -4.335 1.626 -7.135 -1.112 
6.003 7.000 -7.000 0.483 -4.335 1.626 -7.135 -1.112 
6.000 7.950 -6.002 0.536 -4.281 1.572 -7.206 -1.181 
6.000 7.997 -6.000 0.570 -4.248 1.548 -7.180 -1.188 
6.000 8.000 -6.000 0.627 -4.236 1.490 -7.253 -1.266 
5.003 8.997 -5.050 0.657 -4.216 1.454 -7.288 -1.279 
5.000 9.000 -5.003 0.686 -4.195 1.421 -7.304 -1.276 
5.000 9.000 -5.000 0.724 -4.164 1.373 -7.350 -1.288 
5.000 9.000 -5.000 0.748 -4.143 1.335 -7.379 -1.294 
4.050 9.950 -5.000 0.748 -4.143 1.335 -7.379 -1.294 
4.003 9.997 -4.050 0.805 -4.105 1.242 -7.443 -1.319 
4.000 10.000 -4.000 0.827 -4.091 1.199 -7.440 -1.329 
4.000 10.000 -4.000 0.850 -4.077 1.168 -7.451 -1.344 
4.000 9.050 -3.050 0.850 -4.077 1.168 -7.451 -1.344 
3.003 9.048 -3.000 0.885 -4.050 1.079 -7.564 -1.359 
3.000 9.002 -3.000 0.901 -4.036 1.044 -7.570 -1.361 
3.000 9.000 -3.000 0.920 -4.020 0.997 -7.612 -1.361 
3.000 9.000 -2.003 0.920 -4.020 0.997 -7.612 -1.361 
3.000 8.050 -2.000 0.942 -3.999 0.929 -7.697 -1.365 
3.000 8.003 -2.000 0.967 -3.982 0.858 -7.738 -1.349 
3.000 8.000 -1.003 0.974 -3.974 0.828 -7.788 -1.342 
3.000 8.000 -1.000 0.974 -3.974 0.828 -7.788 -1.342 
3.000 7.003 -1.000 0.974 -3.974 0.828 -7.788 -1.342 
3.000 7.000 -1.000 1.006 -3.908 0.689 -7.921 -1.321 
3.950 6.050 -0.050 1.006 -3.908 0.689 -7.921 -1.321 
3.998 6.003 -0.003 1.006 -3.908 0.689 -7.921 -1.321 
4.000 5.050 -0.000 1.020 -3.864 0.628 -8.013 -1.291 
4.000 5.003 -0.000 1.024 -3.822 0.575 -8.073 -1.270 
4.000 5.000 0.997 1.028 -3.795 0.555 -8.099 -1.270 
4.000 5.000 0.050 1.025 -3.759 0.531 -8.144 -1.244 
4.000 4.050 0.998 1.021 -3.718 0.502 -8.174 -1.241 
4.000 4.003 1.000 1.021 -3.686 0.485 -8.186 -1.218 
4.000 4.000 1.000 1.020 -3.659 0.472 -8.219 -1.206 
4.000 3.050 1.000 1.014 -3.615 0.454 -8.252 -1.203 
4.000 3.000 1.000 1.006 -3.564 0.431 -8.281 -1.169 
4.000 3.000 1.000 1.000 -3.531 0.417 -8.305 -1.179 
4.950 2.050 1.000 1.002 -3.501 0.410 -8.326 -1.155 
4.048 2.003 1.000 0.998 -3.455 0.399 -8.346 -1.140 
4.952 2.000 0.050 0.993 -3.417 0.392 -8.380 -1.120 
4.952 1.050 0.952 0.989 -3.360 0.381 -8.413 -1.109 
5.000 1.000 0.050 0.981 -3.324 0.376 -8.419 -1.101 
5.000 1.000 0.002 0.982 -3.274 0.371 -8.443 -1.084 
5.000 1.000 0.000 0.982 -3.229 0.368 -8.462 -1.073 
4.050 1.000 0.000 0.988 -3.178 0.366 -8.475 -1.066 
4.002 1.000 0.000 0.985 -3.146 0.365 -8.494 -1.060 
4.000 0.050 -0.950 0.987 -3.095 0.363 -8.510 -1.039 
4.000 0.002 -0.997 0.989 -3.072 0.362 -8.529 -1.036 
4.000 0.000 -1.000 0.980 -3.030 0.361 -8.555 -1.028 
4.000 0.000 -1.000 0.995 -3.002 0.361 -8.566 -1.028 
4.000 0.000 -1.000 1.003 -2.972 0.361 -8.588 -1.011 
4.000 0.000 -1.000 1.006 -2.951 0.362 -8.604 -1.012 
3.050 0.000 -1.000 1.007 -2.923 0.362 -8.615 -1.011 
3.002 0.000 -1.000 1.012 -2.892 0.362 -8.634 -1.009 
3.000 0.000 -1.048 1.026 -2.854 0.362 -8.661 -1.007 
3.000 0.000 -1.002 1.026 -2.854 0.362 -8.661 -1.007 
3.000 0.000 -1.000 1.034 -2.823 0.362 -8.704 -1.004 
3.000 0.000 -1.000 1.040 -2.799 0.362 -8.727 -1.004 
3.000 0.000 -1.000 1.040 -2.799 0.362 -8.727 -1.004 
3.000 0.000 -1.000 1.053 -2.749 0.362 -8.786 -1.004 
3.000 0.000 -0.953 1.056 -2.730 0.362 -8.803 -1.013 
3.000 0.000 -0.998 1.059 -2.715 0.362 -8.819 -1.008 
3.000 0.000 -0.050 1.059 -2.715 0.362 -8.819 -1.008 
3.000 0.000 -0.952 1.067 -2.677 0.362 -8.851 -1.005 
3.000 0.000 -0.952 1.070 -2.665 0.362 -8.876 -1.003 
3.000 0.000 -0.048 1.072 -2.645 0.362 -8.884 -1.002 
3.000 0.000 -0.048 1.072 -2.645 0.362 -8.884 -1.002 
3.000 0.000 -0.952 1.081 -2.600 0.362 -8.930 -1.001 
3.000 0.000 -0.002 1.085 -2.581 0.362 -8.947 -1.005 
3.000 0.000 -0.000 1.085 -2.537 0.362 -8.974 -1.000 
3.000 0.000 -0.000 1.086 -2.520 0.362 -8.997 -1.015 
3.000 0.000 -0.000 1.086 -2.520 0.362 -8.997 -1.015 
3.000 0.000 -0.000 1.086 -2.461 0.362 -9.025 -1.015 
3.000 0.000 -0.000 1.084 -2.436 0.362 -9.049 -1.019 
3.000 0.000 -0.998 1.082 -2.407 0.362 -9.071 -1.015 
3.000 0.000 -1.000 1.080 -2.387 0.362 -9.080 -1.021 
2.050 0.000 -0.952 1.093 -2.357 0.362 -9.095 -1.018 
2.002 0.000 -0.998 1.096 -2.336 0.362 -9.111 -1.028 
2.000 0.000 -1.000 1.102 -2.321 0.362 -9.120 -1.029 
2.000 0.000 -1.000 1.102 -2.313 0.362 -9.140 -1.028 
2.000 0.000 -1.000 1.110 -2.294 0.362 -9.171 -1.036 
2.000 0.000 -1.000 1.114 -2.279 0.362 -9.199 -1.041 
2.000 0.000 -0.050 1.119 -2.268 0.362 -9.215 -1.058 
2.998 0.000 -0.950 1.126 -2.254 0.362 -9.236 -1.042 
3.000 0.000 -0.998 1.129 -2.243 0.362 -9.261 -1.046 
3.000 0.000 -0.002 1.134 -2.219 0.362 -9.267 -1.052 
3.000 0.000 -0.000 1.138 -2.200 0.362 -9.285 -1.068 
3.000 0.000 -0.000 1.138 -2.185 0.362 -9.285 -1.064 
3.000 0.000 -0.000 1.143 -2.159 0.362 -9.311 -1.074 
3.000 0.000 -0.000 1.143 -2.159 0.362 -9.311 -1.074 
2.050 0.950 -0.950 1.138 -2.086 0.362 -9.333 -1.081 
2.000 1.000 -0.002 1.134 -2.057 0.362 -9.347 -1.082 
2.000 1.000 -0.950 1.134 -2.057 0.362 -9.347 -1.082 
2.000 1.000 -1.000 1.138 -2.034 0.361 -9.378 -1.091 
2.000 1.000 -1.000 1.140 -2.021 0.361 -9.387 -1.098 
2.000 1.000 -0.952 1.147 -2.006 0.359 -9.413 -1.104 
2.000 1.000 -0.048 1.147 -2.006 0.359 -9.413 -1.104 
2.000 1.000 -0.002 1.159 -1.980 0.354 -9.444 -1.119 
2.000 1.000 -0.998 1.163 -1.967 0.353 -9.455 -1.115 
2.000 1.000 -0.002 1.163 -1.945 0.350 -9.476 -1.121 
2.000 1.000 -0.000 1.165 -1.926 0.349 -9.497 -1.119 
2.000 1.000 -0.950 1.162 -1.920 0.347 -9.502 -1.126 
2.000 1.000 -0.048 1.162 -1.920 0.347 -9.502 -1.126 
2.000 1.000 -0.950 1.166 -1.906 0.346 -9.521 -1.127 
2.000 1.000 -0.048 1.175 -1.866 0.342 -9.556 -1.135 
2.000 1.000 -0.000 1.175 -1.866 0.342 -9.556 -1.135 
2.000 1.000 -0.950 1.178 -1.850 0.339 -9.571 -1.139 
2.000 1.000 -0.002 1.178 -1.838 0.337 -9.583 -1.136 
2.000 1.000 -0.950 1.176 -1.797 0.333 -9.608 -1.140 
2.000 1.000 -0.002 1.181 -1.789 0.332 -9.627 -1.145 
2.000 1.000 -0.000 1.183 -1.778 0.330 -9.631 -1.148 
2.000 1.000 -0.000 1.183 -1.778 0.330 -9.631 -1.148 
2.000 1.000 -0.000 1.186 -1.744 0.326 -9.662 -1.151 
2.000 1.000 -0.000 1.181 -1.723 0.324 -9.677 -1.155 
2.000 1.000 -0.950 1.181 -1.723 0.324 -9.677 -1.155 
2.000 1.000 -0.002 1.183 -1.710 0.322 -9.684 -1.156 
2.000 1.000 -0.000 1.182 -1.688 0.319 -9.703 -1.161 
2.000 1.000 -0.048 1.185 -1.663 0.316 -9.725 -1.156 
2.000 1.000 -0.002 1.185 -1.663 0.316 -9.725 -1.156 
2.000 1.000 -0.000 1.186 -1.648 0.315 -9.735 -1.156 
2.000 1.000 -0.000 1.189 -1.605 0.310 -9.765 -1.152 
2.000 1.000 -0.950 1.187 -1.588 0.308 -9.765 -1.148 
2.000 1.000 -0.998 1.187 -1.588 0.308 -9.765 -1.148 
2.000 1.000 -1.000 1.186 -1.574 0.306 -9.783 -1.154 
2.000 1.000 -1.000 1.190 -1.545 0.304 -9.796 -1.148 
2.000 1.000 -1.000 1.196 -1.533 0.301 -9.806 -1.153 
2.000 1.000 -0.050 1.202 -1.517 0.300 -9.816 -1.161 
2.000 1.000 -0.998 1.208 -1.505 0.297 -9.831 -1.148 
2.000 1.000 -1.000 1.213 -1.490 0.292 -9.832 -1.148 
1.050 1.000 -1.000 1.216 -1.471 0.290 -9.842 -1.139 
1.002 1.000 -1.000 1.218 -1.461 0.290 -9.851 -1.144 
1.000 1.000 -1.000 1.225 -1.444 0.289 -9.865 -1.171 
1.000 1.000 -0.050 1.230 -1.439 0.288 -9.876 -1.172 
1.000 1.000 -0.998 1.235 -1.434 0.286 -9.894 -1.180 
1.000 1.000 -1.000 1.237 -1.432 0.284 -9.895 -1.183 
1.000 1.047 -0.002 1.238 -1.431 0.284 -9.910 -1.183 
1.000 1.002 -0.000 1.251 -1.419 0.279 -9.943 -1.185 
1.048 1.000 -0.000 1.251 -1.419 0.279 -9.943 -1.185 
1.952 1.000 -0.000 1.257 -1.412 0.275 -9.961 -1.181 
2.000 1.000 0.950 1.262 -1.404 0.271 -9.979 -1.182 
2.000 1.000 0.047 1.262 -1.404 0.271 -9.979 -1.182 
2.000 1.000 0.000 1.251 -1.365 0.267 -9.996 -1.188 
2.000 1.000 0.000 1.249 -1.349 0.265 -9.999 -1.185 
2.000 1.000 0.950 1.253 -1.324 0.261 -10.009 -1.184 
1.050 1.000 0.002 1.253 -1.312 0.260 -10.013 -1.179 
1.000 1.000 0.000 1.256 -1.302 0.259 -10.022 -1.179 
1.000 1.000 0.000 1.248 -1.270 0.255 -10.022 -1.179 
1.000 1.000 0.000 1.246 -1.259 0.252 -10.046 -1.175 
1.000 1.000 0.000 1.249 -1.249 0.251 -10.045 -1.183 
1.000 1.000 0.000 1.249 -1.249 0.251 -10.045 -1.183 
1.000 1.000 0.000 1.252 -1.233 0.248 -10.075 -1.190 
1.000 1.000 0.000 1.252 -1.224 0.245 -10.086 -1.185 
1.000 1.000 0.000 1.252 -1.216 0.244 -10.100 -1.182 
1.000 1.000 0.000 1.252 -1.204 0.243 -10.112 -1.175 
1.000 1.000 0.000 1.251 -1.195 0.241 -10.122 -1.178 
1.000 1.000 0.000 1.251 -1.195 0.241 -10.122 -1.178 
1.000 1.000 0.000 1.248 -1.175 0.237 -10.145 -1.178 
1.950 1.000 0.000 1.248 -1.175 0.237 -10.145 -1.178 
1.048 1.000 0.000 1.248 -1.167 0.235 -10.150 -1.177 
1.998 1.000 0.000 1.248 -1.156 0.233 -10.164 -1.174 
1.050 1.000 0.000 1.252 -1.132 0.230 -10.178 -1.183 
1.998 1.000 0.000 1.251 -1.121 0.229 -10.187 -1.178 
1.050 1.000 0.000 1.249 -1.099 0.226 -10.194 -1.181 
1.000 1.000 0.000 1.248 -1.091 0.224 -10.199 -1.179 
1.000 1.000 0.000 1.248 -1.073 0.221 -10.211 -1.158 
1.000 1.000 0.000 1.251 -1.070 0.221 -10.215 -1.149 
1.000 1.000 0.000 1.252 -1.063 0.219 -10.222 -1.145 
1.000 1.000 0.000 1.252 -1.052 0.216 -10.232 -1.126 
1.000 1.000 0.000 1.251 -1.046 0.216 -10.236 -1.132 
1.000 1.000 0.000 1.250 -1.036 0.213 -10.249 -1.126 
1.000 1.000 0.000 1.250 -1.026 0.213 -10.251 -1.131 
1.000 1.000 0.000 1.250 -1.026 0.213 -10.251 -1.131 
1.000 1.000 0.000 1.253 -1.008 0.210 -10.267 -1.140 
1.000 1.000 0.000 1.248 -0.991 0.205 -10.283 -1.142 
1.000 1.000 0.000 1.248 -0.991 0.205 -10.283 -1.142 
1.000 1.000 0.000 1.248 -0.991 0.205 -10.283 -1.142 
1.000 1.000 0.000 1.251 -0.969 0.202 -10.298 -1.143 
1.000 1.000 0.000 1.252 -0.954 0.199 -10.317 -1.144 
1.000 1.000 0.000 1.252 -0.948 0.197 -10.316 -1.146 
1.000 1.000 0.000 1.252 -0.931 0.194 -10.334 -1.146 
1.000 1.000 0.000 1.252 -0.923 0.192 -10.328 -1.149 
1.000 1.000 0.000 1.251 -0.915 0.190 -10.347 -1.143 
1.000 1.000 0.000 1.251 -0.909 0.189 -10.347 -1.146 
1.000 1.000 0.000 1.252 -0.897 0.186 -10.351 -1.145 
1.000 1.000 0.000 1.252 -0.890 0.185 -10.362 -1.139 
1.000 1.000 0.000 1.251 -0.879 0.183 -10.360 -1.139 
1.000 1.000 0.000 1.249 -0.871 0.181 -10.375 -1.142 
1.000 1.000 0.000 1.249 -0.871 0.181 -10.375 -1.142 
1.000 1.000 0.000 1.249 -0.853 0.178 -10.374 -1.137 
1.000 1.000 0.000 1.249 -0.836 0.175 -10.387 -1.132 
