targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.998 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.998 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.998 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.002 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.002 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.002 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.950 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.950 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.950 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.950 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.048 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.000 -7.000 0.000 0.000 0.000 0.000 
